question,supporting_information
"Can you help me generate a military course of action given the support information?
Supporting Information:
[{'unit_id': 1, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 51, 'y': 83}}, {'unit_id': 2, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 36, 'y': 42}}, {'unit_id': 3, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 74, 'y': 81}}, {'unit_id': 4, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 83, 'y': 63}}, {'unit_id': 5, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 89, 'y': 113}}, {'unit_id': 6, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 26, 'y': 121}}, {'unit_id': 7, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 85, 'y': 156}}, {'unit_id': 8, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 88, 'y': 12}}, {'unit_id': 9, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 66, 'y': 135}}, {'unit_id': 10, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 14, 'y': 180}}, {'unit_id': 11, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 136, 'y': 67}}, {'unit_id': 12, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 154, 'y': 28}}, {'unit_id': 13, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 126, 'y': 110}}, {'unit_id': 14, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 109, 'y': 166}}, {'unit_id': 15, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 151, 'y': 154}}, {'unit_id': 16, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 151, 'y': 72}}, {'unit_id': 17, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 195, 'y': 155}}, {'unit_id': 18, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 159, 'y': 123}}, {'unit_id': 19, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 106, 'y': 6}}, {'unit_id': 20, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 109, 'y': 72}}]","[{'unit_id': 1, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 51, 'y': 83}}, {'unit_id': 2, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 36, 'y': 42}}, {'unit_id': 3, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 74, 'y': 81}}, {'unit_id': 4, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 83, 'y': 63}}, {'unit_id': 5, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 89, 'y': 113}}, {'unit_id': 6, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 26, 'y': 121}}, {'unit_id': 7, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 85, 'y': 156}}, {'unit_id': 8, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 88, 'y': 12}}, {'unit_id': 9, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 66, 'y': 135}}, {'unit_id': 10, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 14, 'y': 180}}, {'unit_id': 11, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 136, 'y': 67}}, {'unit_id': 12, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 154, 'y': 28}}, {'unit_id': 13, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 126, 'y': 110}}, {'unit_id': 14, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 109, 'y': 166}}, {'unit_id': 15, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 151, 'y': 154}}, {'unit_id': 16, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 151, 'y': 72}}, {'unit_id': 17, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 195, 'y': 155}}, {'unit_id': 18, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 159, 'y': 123}}, {'unit_id': 19, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 106, 'y': 6}}, {'unit_id': 20, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 109, 'y': 72}}]"
"Can you help me generate a military course of action given the support information?
Supporting Information:
[{'unit_id': 1, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 51, 'y': 51}}, {'unit_id': 2, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 47, 'y': 168}}, {'unit_id': 3, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 85, 'y': 110}}, {'unit_id': 4, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 35, 'y': 32}}, {'unit_id': 5, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 38, 'y': 139}}, {'unit_id': 6, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 85, 'y': 159}}, {'unit_id': 7, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 22, 'y': 168}}, {'unit_id': 8, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 63, 'y': 70}}, {'unit_id': 9, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 2, 'y': 39}}, {'unit_id': 10, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 48, 'y': 163}}, {'unit_id': 11, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 114, 'y': 39}}, {'unit_id': 12, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 144, 'y': 27}}, {'unit_id': 13, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 182, 'y': 98}}, {'unit_id': 14, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 185, 'y': 43}}, {'unit_id': 15, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 189, 'y': 162}}, {'unit_id': 16, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 187, 'y': 3}}, {'unit_id': 17, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 191, 'y': 113}}, {'unit_id': 18, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 187, 'y': 116}}, {'unit_id': 19, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 188, 'y': 73}}, {'unit_id': 20, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 160, 'y': 126}}]","[{'unit_id': 1, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 51, 'y': 51}}, {'unit_id': 2, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 47, 'y': 168}}, {'unit_id': 3, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 85, 'y': 110}}, {'unit_id': 4, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 35, 'y': 32}}, {'unit_id': 5, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 38, 'y': 139}}, {'unit_id': 6, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 85, 'y': 159}}, {'unit_id': 7, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 22, 'y': 168}}, {'unit_id': 8, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 63, 'y': 70}}, {'unit_id': 9, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 2, 'y': 39}}, {'unit_id': 10, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 48, 'y': 163}}, {'unit_id': 11, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 114, 'y': 39}}, {'unit_id': 12, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 144, 'y': 27}}, {'unit_id': 13, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 182, 'y': 98}}, {'unit_id': 14, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 185, 'y': 43}}, {'unit_id': 15, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 189, 'y': 162}}, {'unit_id': 16, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 187, 'y': 3}}, {'unit_id': 17, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 191, 'y': 113}}, {'unit_id': 18, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 187, 'y': 116}}, {'unit_id': 19, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 188, 'y': 73}}, {'unit_id': 20, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 160, 'y': 126}}]"
"Can you help me generate a military course of action given the support information?
Supporting Information:
[{'unit_id': 1, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 83, 'y': 167}}, {'unit_id': 2, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 36, 'y': 107}}, {'unit_id': 3, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 89, 'y': 190}}, {'unit_id': 4, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 0, 'y': 139}}, {'unit_id': 5, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 70, 'y': 152}}, {'unit_id': 6, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 72, 'y': 27}}, {'unit_id': 7, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 65, 'y': 3}}, {'unit_id': 8, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 8, 'y': 26}}, {'unit_id': 9, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 14, 'y': 107}}, {'unit_id': 10, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 73, 'y': 11}}, {'unit_id': 11, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 169, 'y': 187}}, {'unit_id': 12, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 194, 'y': 33}}, {'unit_id': 13, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 119, 'y': 199}}, {'unit_id': 14, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 175, 'y': 29}}, {'unit_id': 15, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 150, 'y': 125}}, {'unit_id': 16, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 199, 'y': 178}}, {'unit_id': 17, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 178, 'y': 136}}, {'unit_id': 18, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 181, 'y': 38}}, {'unit_id': 19, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 143, 'y': 117}}, {'unit_id': 20, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 174, 'y': 195}}]","[{'unit_id': 1, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 83, 'y': 167}}, {'unit_id': 2, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 36, 'y': 107}}, {'unit_id': 3, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 89, 'y': 190}}, {'unit_id': 4, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 0, 'y': 139}}, {'unit_id': 5, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 70, 'y': 152}}, {'unit_id': 6, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 72, 'y': 27}}, {'unit_id': 7, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 65, 'y': 3}}, {'unit_id': 8, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 8, 'y': 26}}, {'unit_id': 9, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 14, 'y': 107}}, {'unit_id': 10, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 73, 'y': 11}}, {'unit_id': 11, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 169, 'y': 187}}, {'unit_id': 12, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 194, 'y': 33}}, {'unit_id': 13, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 119, 'y': 199}}, {'unit_id': 14, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 175, 'y': 29}}, {'unit_id': 15, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 150, 'y': 125}}, {'unit_id': 16, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 199, 'y': 178}}, {'unit_id': 17, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 178, 'y': 136}}, {'unit_id': 18, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 181, 'y': 38}}, {'unit_id': 19, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 143, 'y': 117}}, {'unit_id': 20, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 174, 'y': 195}}]"
"Can you help me generate a military course of action given the support information?
Supporting Information:
[{'unit_id': 1, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 58, 'y': 132}}, {'unit_id': 2, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 56, 'y': 55}}, {'unit_id': 3, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 40, 'y': 191}}, {'unit_id': 4, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 64, 'y': 151}}, {'unit_id': 5, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 1, 'y': 56}}, {'unit_id': 6, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 12, 'y': 173}}, {'unit_id': 7, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 22, 'y': 192}}, {'unit_id': 8, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 11, 'y': 42}}, {'unit_id': 9, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 4, 'y': 13}}, {'unit_id': 10, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 80, 'y': 171}}, {'unit_id': 11, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 147, 'y': 153}}, {'unit_id': 12, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 114, 'y': 157}}, {'unit_id': 13, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 167, 'y': 173}}, {'unit_id': 14, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 116, 'y': 134}}, {'unit_id': 15, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 194, 'y': 104}}, {'unit_id': 16, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 174, 'y': 49}}, {'unit_id': 17, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 142, 'y': 184}}, {'unit_id': 18, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 172, 'y': 138}}, {'unit_id': 19, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 165, 'y': 153}}, {'unit_id': 20, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 105, 'y': 33}}]","[{'unit_id': 1, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 58, 'y': 132}}, {'unit_id': 2, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 56, 'y': 55}}, {'unit_id': 3, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 40, 'y': 191}}, {'unit_id': 4, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 64, 'y': 151}}, {'unit_id': 5, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 1, 'y': 56}}, {'unit_id': 6, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 12, 'y': 173}}, {'unit_id': 7, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 22, 'y': 192}}, {'unit_id': 8, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 11, 'y': 42}}, {'unit_id': 9, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 4, 'y': 13}}, {'unit_id': 10, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 80, 'y': 171}}, {'unit_id': 11, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 147, 'y': 153}}, {'unit_id': 12, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 114, 'y': 157}}, {'unit_id': 13, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 167, 'y': 173}}, {'unit_id': 14, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 116, 'y': 134}}, {'unit_id': 15, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 194, 'y': 104}}, {'unit_id': 16, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 174, 'y': 49}}, {'unit_id': 17, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 142, 'y': 184}}, {'unit_id': 18, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 172, 'y': 138}}, {'unit_id': 19, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 165, 'y': 153}}, {'unit_id': 20, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 105, 'y': 33}}]"
"Can you help me generate a military course of action given the support information?
Supporting Information:
